Produk,Rating,Ulasan,Clean_Ulasan,Sentiment,Word_Count,Char_Count,Length_Category
Xiaomi 120W HyperCharge Combo Tipe-A,5,Pesanan sdh sampai dalam keadaan baik. Semoga awet,pesanan sdh sampai dalam keadaan baik semoga awet,Positif,8,50,Singkat (4–8 kata)
Xiaomi Earphone Tipe-C,5,alternatif earphone type C yg terjangkau,alternatif earphone type c yg terjangkau,Positif,6,40,Singkat (4–8 kata)
POCO X8 Pro Series,5,Barang aman,barang aman,Positif,2,11,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,barang aman,barang aman,Positif,2,11,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"barang sesuai
pengiriman cepat
toko amanah,respon cepat
paking aman,barang sampai tujuan dgn selamat",barang sesuai pengiriman cepat toko amanah respon cepat paking aman barang sampai tujuan dgn selamat,Positif,15,100,Sedang (9–15 kata)
Xiaomi 3A USB-A to USB-C Cable (1m),2,"pada deskripsi barang tertulis bahwa output maksimal kabel adalah 60 watt, namun ternyata tidak support xiaomi turbo charging baik dengan kepala charger 33 watt maupun 67...",pada deskripsi barang tertulis bahwa output maksimal kabel adalah 60 watt namun ternyata tidak support xiaomi turbo charging baik dengan kepala charger 33 watt maupun 67,Negatif,26,173,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"Barang garansi asli & segel, mendarat dengan selamat, aman, packing aman, kotak bonus headphone saja yg kondisinya tdk mulus tp masih oke kemasannya. Good👍👍",barang garansi asli segel mendarat dengan selamat aman packing aman kotak bonus headphone saja yg kondisinya tdk mulus tp masih oke kemasannya good,Positif,23,156,Panjang (>15 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,terima kasih... pesanan sudah diterima. semoga awet,terima kasih pesanan sudah diterima semoga awet,Positif,7,51,Singkat (4–8 kata)
POCO M7 Pro 5G (8/256G),5,"pengiriman cepat, paket aman rapi tersegel",pengiriman cepat paket aman rapi tersegel,Positif,6,42,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,packing rapih dan aman..pengiriman josss,packing rapih dan aman pengiriman josss,Positif,6,40,Singkat (4–8 kata)
Xiaomi Monitor A22i,5,Okee,okee,Positif,1,4,Sangat Singkat (≤3 kata)
Xiaomi Monitor A27i,5,Oke,oke,Positif,1,3,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,"hp nya mantap 👍 
pengiriman lancar jaya",hp nya mantap pengiriman lancar jaya,Positif,6,39,Singkat (4–8 kata)
"Xiaomi TV A 43"" FHD 2026",5,"aman dan selamat sampai tujuan, semoga awet",aman dan selamat sampai tujuan semoga awet,Positif,7,43,Singkat (4–8 kata)
POCO M7 (8GB/256GB),5,alhamdulilah udah ada antigores sama casing,alhamdulilah udah ada antigores sama casing,Positif,6,43,Singkat (4–8 kata)
Xiaomi Pad 8 (8/256GB),5,barang berfungsi dengan baik,barang berfungsi dengan baik,Positif,4,28,Singkat (4–8 kata)
POCO X7 Pro 5G,5,barang semua ok sedikit kurang Buble plastiknya masa cuma 1 lapis... hehe,barang semua ok sedikit kurang buble plastiknya masa cuma 1 lapis hehe,Positif,12,73,Sedang (9–15 kata)
Xiaomi Smart Camera C500,5,Pengiriman cepat packing bagus produk sesuai dengan deskripsi. tks,pengiriman cepat packing bagus produk sesuai dengan deskripsi tks,Positif,9,66,Sedang (9–15 kata)
Xiaomi TV A Pro 43 2026,5,"Barang original harga murah kualitas gambar sangat bagus, mantap banget pokoknya",barang original harga murah kualitas gambar sangat bagus mantap banget pokoknya,Positif,11,80,Sedang (9–15 kata)
Xiaomi Redmi Note 15 (8/128 GB) (8/256 GB),5,Paket diterima dengan baik,paket diterima dengan baik,Positif,4,26,Singkat (4–8 kata)
Xiaomi Insulated Water Bottle,5,"barang oke, warna nya juga cakep... kesalahan saya ngga baca deskripsi😅 ternyata ukurannya 350ml. tapi okelah buat saya. bismillah awet awet awet",barang oke warna nya juga cakep kesalahan saya ngga baca deskripsi ternyata ukurannya 350ml tapi okelah buat saya bismillah awet awet awet,Positif,22,145,Panjang (>15 kata)
Xiaomi Monitor A27i,5,"barang ori gak perlu diragukan lagi, asal belinya juga di toko official. order tanggal 11, tanggal 13 udah nyampe. alhamdulillah bisa buat kerja dan nonton lagi.",barang ori gak perlu diragukan lagi asal belinya juga di toko official order tanggal 11 tanggal 13 udah nyampe alhamdulillah bisa buat kerja dan nonton lagi,Positif,26,161,Panjang (>15 kata)
Xiaomi TV Box S (3rd Gen),5,"barang terima utuh, tanpa cacat,packing aman,tinggal pasang nanti malam
👍👍👍",barang terima utuh tanpa cacat packing aman tinggal pasang nanti malam,Positif,11,75,Sedang (9–15 kata)
Xiaomi Redmi Buds 6 Play,5,Barang sesuai,barang sesuai,Positif,2,13,Sangat Singkat (≤3 kata)
Xiaomi 4K Monitor A27Ui,5,Kualitas ok untuk harga 3jt an.,kualitas ok untuk harga 3jt an,Positif,6,31,Singkat (4–8 kata)
Xiaomi Gaming Monitor G24i 2026,5,Bekerja Sesuai Fungsi dan Penjual responsif,bekerja sesuai fungsi dan penjual responsif,Positif,6,43,Singkat (4–8 kata)
Redmi Pad 2 Pro (6GB/128GB) (8GB/256GB),5,berfungsi dengan baik! 🩷,berfungsi dengan baik,Positif,3,24,Sangat Singkat (≤3 kata)
Xiaomi Pad 8 (8/256GB),5,"barang samapai dengan aman, tepat waktu dan ada segel pula. sudah dicoba, berfungsi dengan baik. pokoknya top👍",barang samapai dengan aman tepat waktu dan ada segel pula sudah dicoba berfungsi dengan baik pokoknya top,Positif,17,110,Panjang (>15 kata)
Xiaomi 120W HyperCharge Combo Tipe-A,5,"Barang sampai dengan kondisi baik, sesuai pesanan, cepat respon dan pengiriman packingnya keren",barang sampai dengan kondisi baik sesuai pesanan cepat respon dan pengiriman packingnya keren,Positif,13,95,Sedang (9–15 kata)
Xiaomi Kabel Type-A to Type-C 6A,5,"Barang sampai dengan kondisi baik, sesuai pesanan, cepat respon dan pengiriman packingnya keren",barang sampai dengan kondisi baik sesuai pesanan cepat respon dan pengiriman packingnya keren,Positif,13,95,Sedang (9–15 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,"Barang sdh dtng sesuai pesanan packing rapi aman pengiriman cepat respon seller pun cepat,,,",barang sdh dtng sesuai pesanan packing rapi aman pengiriman cepat respon seller pun cepat,Positif,14,92,Sedang (9–15 kata)
Xiaomi Redmi Watch 5 Lite,5,penjual gercep barang pun manteb,penjual gercep barang pun manteb,Positif,5,32,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"Barang ori
Sampai aman
Pengiriman cepat",barang ori sampai aman pengiriman cepat,Positif,6,39,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"Baru bagus ori
Pengiriman cepat",baru bagus ori pengiriman cepat,Positif,5,31,Singkat (4–8 kata)
POCO X8 Pro Series,5,"Alhamdulillah sudah diterima dengan baik sesuai dengan deskripsi.
terima kasih",alhamdulillah sudah diterima dengan baik sesuai dengan deskripsi terima kasih,Positif,10,78,Sedang (9–15 kata)
Xiaomi Nose Hair Trimmer,5,Barang sampai sesuai pesanan. Pengiriman cepat. Semoga barangnya awet,barang sampai sesuai pesanan pengiriman cepat semoga barangnya awet,Positif,9,69,Sedang (9–15 kata)
Xiaomi Smart Dehumidifier Lite,5,"Terima Kasih Tokopedia. 😁🙏👍🏼

Posisi packing barang terbalik antara atas-bawah, mungkin utk mencegah supaya roda tidak patah, base pecah saat handling pengiriman. Tap...",terima kasih tokopedia posisi packing barang terbalik antara atas bawah mungkin utk mencegah supaya roda tidak patah base pecah saat handling pengiriman tap,Positif,23,169,Panjang (>15 kata)
Xiaomi Kabel Type-A to Type-C 6A,5,"Barang bersegel ori Xiaomi.
Support fast charging.
Kompatibel dengan Xiaomi 12 Lite dengan kepala charger 67 Watt",barang bersegel ori xiaomi support fast charging kompatibel dengan xiaomi 12 lite dengan kepala charger 67 watt,Positif,17,113,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"Barang aman sampai tangan konsumen. Sangat puas dengan pelayanan xiaomi, dan pengiriman cepat",barang aman sampai tangan konsumen sangat puas dengan pelayanan xiaomi dan pengiriman cepat,Positif,13,93,Sedang (9–15 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,"Terbaik, bagus , segel , original",terbaik bagus segel original,Positif,4,33,Singkat (4–8 kata)
POCO X8 Pro Series,5,"Barang Ok, pengiriman cepat",barang ok pengiriman cepat,Positif,4,27,Singkat (4–8 kata)
POCO F8 Series,5,"barang sampai dengan aman, pengiriman cepat, packing oke. terimakasih untuk Poco tim dan JNE tim",barang sampai dengan aman pengiriman cepat packing oke terimakasih untuk poco tim dan jne tim,Positif,15,96,Sedang (9–15 kata)
Xiaomi Robot Vacuum H40,5,Packing nya bagus. Barang mulus. Belum di coba semoga lancar.,packing nya bagus barang mulus belum di coba semoga lancar,Positif,10,61,Sedang (9–15 kata)
POCO C71 4+4G/128G,5,barang di terima dengan aman dan cepat 👍🏼,barang di terima dengan aman dan cepat,Positif,7,41,Singkat (4–8 kata)
POCO X8 Pro Series,5,produk ORI bergaransi resmi Xiaomi Indonesia,produk ori bergaransi resmi xiaomi indonesia,Positif,6,44,Singkat (4–8 kata)
POCO X8 Pro Series,5,produk ORI bergaransi resmi,produk ori bergaransi resmi,Positif,4,27,Singkat (4–8 kata)
Xiaomi Redmi Buds 6 Play,5,Oke Sip 👍🏻,oke sip,Positif,2,10,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"barang masih segel, pengiriman bagus, bonus headphone neo, mau dipakai dulu untuk yang lainnya",barang masih segel pengiriman bagus bonus headphone neo mau dipakai dulu untuk yang lainnya,Positif,14,94,Sedang (9–15 kata)
Xiaomi Mijia Electric Air Compressor Series,5,"recommended. gua pake buat mobil, enak. gampang cek tekanan angin dan sesuaikan dengan spek tekanan ban",recommended gua pake buat mobil enak gampang cek tekanan angin dan sesuaikan dengan spek tekanan ban,Positif,16,103,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),2,Pengemasan kurang bagus. Hanya dilapisi satu bubble wrap tipis dan dua lembar plastik. Kardus produk (bukan kardus cokelat kemasan luar) diterima dalam kondisi penyok.,pengemasan kurang bagus hanya dilapisi satu bubble wrap tipis dan dua lembar plastik kardus produk bukan kardus cokelat kemasan luar diterima dalam kondisi penyok,Negatif,24,167,Panjang (>15 kata)
POCO C81 Pro (4GB/128G) (4GB/64GB),5,mantap,mantap,Positif,1,6,Sangat Singkat (≤3 kata)
Xiaomi Electric Shaver S200,5,"udah kayak alat cukurnya bapaknya shinchan, cuman ini ga pake kabel, works, thanks xiaomi.

ps: dengerin om kutang dikit, barang2 IoTmu bagus2 loh, bawa dong ke Indo😛",udah kayak alat cukurnya bapaknya shinchan cuman ini ga pake kabel works thanks xiaomi ps dengerin om kutang dikit barang2 iotmu bagus2 loh bawa dong ke indo,Positif,27,166,Panjang (>15 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,manntap,manntap,Positif,1,7,Sangat Singkat (≤3 kata)
POCO C85 (6/128) (8/256),5,"oke,.ori",oke ori,Positif,2,8,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,ada gift nya ...,ada gift nya,Positif,3,16,Sangat Singkat (≤3 kata)
Xiaomi 15T Pro (12/512GB),5,👍,,Positif,0,1,Sangat Singkat (≤3 kata)
POCO F8 Series,5,"Barangnya sampai dengan selamat,packingnya aman,garansi resmi,pengiriman juga cepat dan hpnya sangat nyaman di pakai.paling cuma OS nya saja yang perlu di perbaiki lagi i...",barangnya sampai dengan selamat packingnya aman garansi resmi pengiriman juga cepat dan hpnya sangat nyaman di pakai paling cuma os nya saja yang perlu di perbaiki lagi i,Positif,28,173,Panjang (>15 kata)
Xiaomi TV A Pro 43 2026,5,"Keren👍
Set up nya gampang, teknologi canggih
Seller BEST recomended",keren set up nya gampang teknologi canggih seller best recomended,Positif,10,67,Sedang (9–15 kata)
Xiaomi Redmi Buds 6 Play,5,"produk original 
alhamdulillah dpt harga 80 rb dr 150
mantaaap dah buat tokped 
byak promo dan potongan harga",produk original alhamdulillah dpt harga 80 rb dr 150 mantaaap dah buat tokped byak promo dan potongan harga,Positif,18,109,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,barang pasti jaminan asli. packing super aman dan pengiriman termasuk on time. good job,barang pasti jaminan asli packing super aman dan pengiriman termasuk on time good job,Positif,14,87,Sedang (9–15 kata)
POCO X8 Pro Series,5,"Walopun packing kardus satu lapis ternyata cukup aman, masih full segel ketika unboxing, kekurangan cuman di pengiriman aja JNE rada telat update resi.
Sejauh ini pemakai...",walopun packing kardus satu lapis ternyata cukup aman masih full segel ketika unboxing kekurangan cuman di pengiriman aja jne rada telat update resi sejauh ini pemakai,Positif,26,173,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"Barang masih segel, bagus banget, cuma kurang di packing aja bubble wrapnya kurang jadi barang dalam box masih bisa terguncang. oh iyaa dapet free headphone Neo juga 👍👍",barang masih segel bagus banget cuma kurang di packing aja bubble wrapnya kurang jadi barang dalam box masih bisa terguncang oh iyaa dapet free headphone neo juga,Positif,27,168,Panjang (>15 kata)
Xiaomi Redmi Buds 8 Lite,5,"barang bagus, sampai dengan selamat",barang bagus sampai dengan selamat,Positif,5,35,Singkat (4–8 kata)
POCO X8 Pro Series,5,"barang bagus dan mulus no minus ga mengecewakan sama sekali cuman kurangnya pengiriman nya aja lumayan lama, overall semuanya bagus saya suka",barang bagus dan mulus no minus ga mengecewakan sama sekali cuman kurangnya pengiriman nya aja lumayan lama overall semuanya bagus saya suka,Positif,22,141,Panjang (>15 kata)
POCO X7 5G,5,"Salah satu hp yg worth it menurut saya karena bisa dapet 12+512gb, lumayan buat gantiin hp lama saya yg udh kentang",salah satu hp yg worth it menurut saya karena bisa dapet 12 512gb lumayan buat gantiin hp lama saya yg udh kentang,Positif,22,115,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,Bagus.. Paket aman.. Sampai tujuan.. Sesuai pilihan..,bagus paket aman sampai tujuan sesuai pilihan,Positif,7,53,Singkat (4–8 kata)
Xiaomi 90W HyperCharge Combo (Type-A),5,Beli charger dari sini memang tidak perlu diragukan,beli charger dari sini memang tidak perlu diragukan,Positif,8,51,Singkat (4–8 kata)
Xiaomi Buds 5 Pro,5,"Barang sampai cepat dalam keadaan baik, kualitas suara bagus, bisa dituning lagi dengan aplikasinya, detail suara terdengar jernih, separasi suara bagus, ANC bisa meredam...",barang sampai cepat dalam keadaan baik kualitas suara bagus bisa dituning lagi dengan aplikasinya detail suara terdengar jernih separasi suara bagus anc bisa meredam,Positif,24,173,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"masih segel, sesuai pesanan",masih segel sesuai pesanan,Positif,4,27,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,barang sesuai dengan pesanan,barang sesuai dengan pesanan,Positif,4,28,Singkat (4–8 kata)
Xiaomi Smart Air Purifier 4 Lite,5,"The best
All the best 
Ancuaaaa
Ane best ane songg",the best all the best ancuaaaa ane best ane songg,Positif,10,50,Sedang (9–15 kata)
POCO X8 Pro Series,5,"Barang nya sudah diterima dengan aman. tidak ada yang penyok2. ORIGINAL 1000%. Dan cepet banget nyampenya. Order tgl. 11 Juni, eh 12 Juni udah sampe dong. Seneng banget k...",barang nya sudah diterima dengan aman tidak ada yang penyok2 original 1000 dan cepet banget nyampenya order tgl 11 juni eh 12 juni udah sampe dong seneng banget k,Positif,29,173,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,Mantapppp,mantapppp,Positif,1,9,Sangat Singkat (≤3 kata)
Xiaomi TV Box S (3rd Gen),5,"-Barang sesuai deskripsi foto
-Pengiriman cepat
-Packing aman dan rapih
-Penjual Ramah dan fast respons",barang sesuai deskripsi foto pengiriman cepat packing aman dan rapih penjual ramah dan fast respons,Positif,15,103,Sedang (9–15 kata)
Xiaomi Hair Clipper 2,5,"alhamdulillah barang sudah saya terima dengan baik, tp blm saya coba, muda2han berfungsi dengan baik, makasih bos...",alhamdulillah barang sudah saya terima dengan baik tp blm saya coba muda2han berfungsi dengan baik makasih bos,Positif,17,116,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,Alhamdulillah cepat sampainya dan Barangnya Bagus,alhamdulillah cepat sampainya dan barangnya bagus,Positif,6,49,Singkat (4–8 kata)
POCO M7 Pro 5G (8/256G),5,"sesuai pesanan, packing",sesuai pesanan packing,Positif,3,23,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,Mantap sekali produk bagus. terima kasih bonusnya,mantap sekali produk bagus terima kasih bonusnya,Positif,7,49,Singkat (4–8 kata)
POCO M7 (8GB/256GB),5,"respon cepat 
barang original disegel resmi
kurir ramah 
cepat sampai 
terimakasih",respon cepat barang original disegel resmi kurir ramah cepat sampai terimakasih,Positif,11,82,Sedang (9–15 kata)
POCO M7 (8GB/256GB),5,"Produk Bagus, sesuai gambar & deskripsi 👍 Rekomendasi 👍",produk bagus sesuai gambar deskripsi rekomendasi,Positif,6,55,Singkat (4–8 kata)
Xiaomi Buds 6,5,"mantap, cepet sampainya",mantap cepet sampainya,Positif,3,23,Sangat Singkat (≤3 kata)
Xiaomi TV A Pro 43 2026,5,"barang ok produk original,,mudah2an awet",barang ok produk original mudah2an awet,Positif,6,40,Singkat (4–8 kata)
Xiaomi Smart Camera C201,5,Barang sudah diterima dengan kondisi baik. Terima kasih.,barang sudah diterima dengan kondisi baik terima kasih,Positif,8,56,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"Kualitas barang original, Recommended",kualitas barang original recommended,Positif,4,37,Singkat (4–8 kata)
Xiaomi 3A USB-A to USB-C Cable (1m),5,"kabel bawaannya udh buluk, dipake 4 tahun lebih. Yaudah langsung saja cek official store xiaomi. Biasakan beli yg ori ya",kabel bawaannya udh buluk dipake 4 tahun lebih yaudah langsung saja cek official store xiaomi biasakan beli yg ori ya,Positif,20,120,Panjang (>15 kata)
POCO X8 Pro Series,5,"fast respon, rekomended seller. tq",fast respon rekomended seller tq,Positif,5,34,Singkat (4–8 kata)
"Xiaomi TV A 43"" FHD 2026",5,oke banget,oke banget,Positif,2,10,Sangat Singkat (≤3 kata)
Xiaomi Compact Hair Dryer H101 Ringkas dan bisa dilipat,5,so good,so good,Positif,2,7,Sangat Singkat (≤3 kata)
Xiaomi Redmi Note 15 Pro 5G (8/256GB) (12/512GB),5,"Semuanya oke.
Puas deh beli hp ini.
Recomended banget deh.
Mantap 👍👍👍☺️☺️☺️",semuanya oke puas deh beli hp ini recomended banget deh mantap,Positif,11,75,Sedang (9–15 kata)
POCO X8 Pro Series,1,"jangan beli handphone di toko ini jika masih menggunakan jasa pengiriman JNE. 
Pengiriman sangat lambat dan status tracking barang tidak up date.",jangan beli handphone di toko ini jika masih menggunakan jasa pengiriman jne pengiriman sangat lambat dan status tracking barang tidak up date,Negatif,22,145,Panjang (>15 kata)
Xiaomi TV Stick 4K 2nd Gen,5,"Packing bagus, barang diterima dgn aman.., di test berfungsi dengan baik..
Terima kasih..",packing bagus barang diterima dgn aman di test berfungsi dengan baik terima kasih,Positif,13,89,Sedang (9–15 kata)
Xiaomi 17T Pro (12GB+256GB),5,"Pengiriman cepat, harga disc dan mantap",pengiriman cepat harga disc dan mantap,Positif,6,39,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"cepet sampainya, dapet free headphone, barang saman, masih tersegel",cepet sampainya dapet free headphone barang saman masih tersegel,Positif,9,67,Sedang (9–15 kata)
Xiaomi Redmi Note 15 Pro 5G (8/256GB) (12/512GB),5,garansi xiaomi resmi. paket utuh sempurna. produk sesuai dengan apa yg diiklankan.,garansi xiaomi resmi paket utuh sempurna produk sesuai dengan apa yg diiklankan,Positif,12,82,Sedang (9–15 kata)
Xiaomi Mijia Electric Air Compressor Series,5,"Sesuai deskripsi, pengiriman cepat",sesuai deskripsi pengiriman cepat,Positif,4,34,Singkat (4–8 kata)
Xiaomi 90W HyperCharge Combo (Type-A),5,ORIGINAL MANTAP SEKALI,original mantap sekali,Positif,3,22,Sangat Singkat (≤3 kata)
Xiaomi Redmi Note 15 (8/128 GB) (8/256 GB),5,barangnya sesuai tidak mengecewakan,barangnya sesuai tidak mengecewakan,Positif,4,35,Singkat (4–8 kata)
POCO M7 (8GB/256GB),5,M7 SPEK MEWAHH,m7 spek mewahh,Positif,3,14,Sangat Singkat (≤3 kata)
Xiaomi Smart Air Purifier 4 Compact,5,berfungsi dengan baik,berfungsi dengan baik,Positif,3,21,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,perfect,perfect,Positif,1,7,Sangat Singkat (≤3 kata)
Xiaomi Kabel Type-A to Type-C 6A,5,barang resmi ori asli msh segel dan ada label nempel di kabelnya,barang resmi ori asli msh segel dan ada label nempel di kabelnya,Positif,12,64,Sedang (9–15 kata)
Redmi Pad 2 Pro (6GB/128GB) (8GB/256GB),5,"mantap barang datang dengan selamat semua fitur berfungsi dengan normal, semoga awet thanks",mantap barang datang dengan selamat semua fitur berfungsi dengan normal semoga awet thanks,Positif,13,91,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,barang sesuai dan respon cepat,barang sesuai dan respon cepat,Positif,5,30,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,barang sesuai aman cm pengiriman pake JNE lama sampainya,barang sesuai aman cm pengiriman pake jne lama sampainya,Positif,9,56,Sedang (9–15 kata)
POCO C71 4+4G/128G,5,"kemarin pesan, siang ini sampai, dahsyat luar biasa",kemarin pesan siang ini sampai dahsyat luar biasa,Positif,8,51,Singkat (4–8 kata)
Xiaomi REDMI Watch 6,5,"gede banget anjai, tp okela, mantap",gede banget anjai tp okela mantap,Positif,6,35,Singkat (4–8 kata)
Xiaomi Redmi Buds 6 Play,5,"Respon penjual, packing barang, dan pengiriman, semua dilakukan dengan sangat baik, terima kasih",respon penjual packing barang dan pengiriman semua dilakukan dengan sangat baik terima kasih,Positif,13,96,Sedang (9–15 kata)
POCO F8 Series,5,"Sudah lama ghaib akhirnya di tanggal 6.6 dapat juga harga diskon lagi

cuma saya Paket dikirim si JNE
sipaling lemot
melewati Estimasi waktu yg diberikan
JNE PARAH",sudah lama ghaib akhirnya di tanggal 6 6 dapat juga harga diskon lagi cuma saya paket dikirim si jne sipaling lemot melewati estimasi waktu yg diberikan jne parah,Positif,28,163,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,beli 6.6 dapet diskon besar dari Xiaomi dan Tokopedia . barang cepat sampai. masih kebagian headphone redmi neo. packing super aman. unit Xiaomi 17T nya sudah pasti manta...,beli 6 6 dapet diskon besar dari xiaomi dan tokopedia barang cepat sampai masih kebagian headphone redmi neo packing super aman unit xiaomi 17t nya sudah pasti manta,Positif,28,173,Panjang (>15 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,5,"sudah dipakai beberapa hari, cocok tidak ada Masalah.",sudah dipakai beberapa hari cocok tidak ada masalah,Positif,8,53,Singkat (4–8 kata)
Xiaomi 17T (12GB+512GB),5,"barang oke, kualitas baik. pengiriman cepat",barang oke kualitas baik pengiriman cepat,Positif,6,43,Singkat (4–8 kata)
Xiaomi Tag,5,"Ok, berfungsi baik",ok berfungsi baik,Positif,3,18,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,packing rapi barang ORI aman,packing rapi barang ori aman,Positif,5,28,Singkat (4–8 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,5,"barang sampai hanya Salah kirim ke tetangga,krn dekat jadi tinggal lgsg ambil ke tetangga",barang sampai hanya salah kirim ke tetangga krn dekat jadi tinggal lgsg ambil ke tetangga,Positif,15,89,Sedang (9–15 kata)
Xiaomi Monitor A22i,5,"berfungsi normal
harga ekonomis 
kualitas baik",berfungsi normal harga ekonomis kualitas baik,Positif,6,46,Singkat (4–8 kata)
Xiaomi Smart Band 9 Active,5,sesuai picture....barang original...thanks.,sesuai picture barang original thanks,Positif,5,43,Singkat (4–8 kata)
Xiaomi Smart Camera C301 CCTV Indoor,5,Kualitas pengerjaan: Bagus,kualitas pengerjaan bagus,Positif,3,26,Sangat Singkat (≤3 kata)
POCO Pad X1 (8GB/512GB),5,mantap,mantap,Positif,1,6,Sangat Singkat (≤3 kata)
Xiaomi Watch 5,5,"barang sdh di terima dengan baik..
terima kasih",barang sdh di terima dengan baik terima kasih,Positif,8,47,Singkat (4–8 kata)
Xiaomi Redmi Buds 6,5,"barang sdh di terima dengan baik..
terima kasih",barang sdh di terima dengan baik terima kasih,Positif,8,47,Singkat (4–8 kata)
Xiaomi Tag,5,"packing aman pake kardus besar, barang bagus, mudah digunakan, build quality oke, semoga awet",packing aman pake kardus besar barang bagus mudah digunakan build quality oke semoga awet,Positif,14,93,Sedang (9–15 kata)
Xiaomi REDMI Watch 6,5,Mantap barang original dan pas dapat harga promo menarik dari toko.,mantap barang original dan pas dapat harga promo menarik dari toko,Positif,11,67,Sedang (9–15 kata)
Xiaomi Smart Camera C301,5,"as always, never disappointing the customer. the package, condition and function all perfect.",as always never disappointing the customer the package condition and function all perfect,Positif,13,93,Sedang (9–15 kata)
Xiaomi 67W HyperCharge Combo Tipe A,5,"charger original asli, sesuai deskripsi dan pesanan, packing rapi dan aman, pengiriman cepat, terima kasih seller dan kurir",charger original asli sesuai deskripsi dan pesanan packing rapi dan aman pengiriman cepat terima kasih seller dan kurir,Positif,18,123,Panjang (>15 kata)
Mi Precision Screwdriver Kit,5,"packing rapi, dan bbarangnya terkesan mewah 👍",packing rapi dan bbarangnya terkesan mewah,Positif,6,45,Singkat (4–8 kata)
Xiaomi Redmi Note 15 5G (6/128 GB),5,"Barang ORI, pengiriman cepat",barang ori pengiriman cepat,Positif,4,28,Singkat (4–8 kata)
Xiaomi Redmi Note 15 (8/128 GB) (8/256 GB),5,👍,,Positif,0,1,Sangat Singkat (≤3 kata)
Xiaomi Gaming Monitor G27i,5,best sih dengan harganya,best sih dengan harganya,Positif,4,24,Singkat (4–8 kata)
Xiaomi Dust Mite Vacuum Cleaner,5,"Produk berfungsi normal, sesuai deskripsi, dan value for money, bisa menghisap debu dengan kuat, proses pemesanan dan pengiriman cepat. Recommended👍",produk berfungsi normal sesuai deskripsi dan value for money bisa menghisap debu dengan kuat proses pemesanan dan pengiriman cepat recommended,Positif,20,148,Panjang (>15 kata)
POCO M7 Pro 5G (8/256G),5,segel,segel,Positif,1,5,Sangat Singkat (≤3 kata)
POCO Pad X1 (8GB/512GB),5,"Tabnya Lancar banget buat daily work, kapasitas memory besar untuk harganya saat beli.",tabnya lancar banget buat daily work kapasitas memory besar untuk harganya saat beli,Positif,13,86,Sedang (9–15 kata)
Xiaomi 67W HyperCharge Combo Tipe A,5,"Mantap Barang, sesuai dengan bawaan HP saya.",mantap barang sesuai dengan bawaan hp saya,Positif,7,44,Singkat (4–8 kata)
Xiaomi 90W Hypercharge Power Adapter (3 Port),5,Speed sesuai dengan spec dan build quality kokoh dan padet.,speed sesuai dengan spec dan build quality kokoh dan padet,Positif,10,59,Sedang (9–15 kata)
POCO X8 Pro Series,5,Di jamin ori!,di jamin ori,Positif,3,13,Sangat Singkat (≤3 kata)
Xiaomi Redmi Watch 5 Active,5,"barang bagus sesuai deskripsi, respon seller cepat dan baik. packing aman. recommended seller",barang bagus sesuai deskripsi respon seller cepat dan baik packing aman recommended seller,Positif,13,93,Sedang (9–15 kata)
"Xiaomi TV A 43"" FHD 2026",5,Terima kasih barang sampai dengan selamat,terima kasih barang sampai dengan selamat,Positif,6,41,Singkat (4–8 kata)
POCO X7 Pro 5G,5,orikintil kurir emejing,orikintil kurir emejing,Positif,3,23,Sangat Singkat (≤3 kata)
